mijeurope_code;mijeurope_ean;name;stock
MIJC2260;8594197828100;Ridged Alabaster Bowl 16 cm, 550 ml;2
MIJC2670;8594197828117;Ice Pink Bowl 14 cm, 200 ml;0
MIJC2676;8594197828124;Ice Pink Tapas Plate 16,5 cm;0
MIJC2687;8594197828131;Ice Green Dinner Plate 24,5 cm;132
MIJC2696;8594197828148;Ice Blue Dinner Plate 24,5 cm;1
MIJC3601;8594197828155;DK Green Dinner Plate 28,5 cm;317
MIJC3752;8594197828162;Matt Black Saucer 13,5 cm;127
MIJC4002;8594197828179;Green Fade Oval Bowl 19 x 17,5 cm, 600 ml;0
MIJC4006;8594197828186;Green Fade Sauce Bowl 8,5 cm, 100 ml;0
MIJC8170;8594197828193;White Spiral Bowl 13,5 cm, 200 ml;189
MIJC8171;8594197828209;White Spiral Bowl 15,5 cm, 350 ml;40
MIJC8172;8594197828216;White Spiral Bowl 21,5 cm, 900 ml;0
MIJC8174;8594197828223;White Spiral Bowl 23,5 cm, 600 ml;180
MIJC8175;8594197828230;White Spiral Tapas Plate 16 cm;0
MIJC8177;8594197828247;White Spiral Dinner Plate 24,5 cm;269
MIJC8178;8594197828254;White Spiral Dinner Plate 29,5 cm;12
MIJC9021;8594197828261;Earth & Sky Serving Bowl 28,5 cm, 1500 ml;0
MIJC0674;8594197828315;White Fade Side Plate 21 cm;126
MIJC1433;8594197828322;White Fade Bowl 11 cm, 300 ml;0
MIJC1434;8594197828339;White Fade Pasta Bowl 21,5 cm, 700 ml;0
MIJC2262;8594197828346;Ridged Alabaster Ramen Bowl 25 cm, 900 ml;0
MIJC4003;8594197828353;Green Fade Oval Bowl 16,5 x 15 cm, 300 ml;60
MIJC4008;8594197828360;Green Fade Cup 120 ml;255
MIJC4047;8594197828377;BB Black Rectangular Plate 29,5 x 12 cm;0
MIJC4048;8594197828384;Green Fade Rectangular Plate 29,5 x 12 cm;244
MIJC4049;8594197828391;White Fade Rectangular Plate 29,5 x 12 cm;169
MIJC5167;8594197828407;Earth Sake Cup 50 ml;0
MIJC8176;8594197828414;White Spiral Side Plate 21,5 cm;8
MIJC0670;8594197828421;White Fade Oval Bowl 19 x 17,5 cm, 600 ml;0
MIJC0680;8594197828438;Sand Fade  Oval Bowl 19 x 17,5 cm, 600 ml;0
MIJC1444;8594197828445;Green Fade Pasta Bowl 21,5 cm, 700 ml;0
MIJC2677;8594197828452;Ice Pink Side Plate 22 cm;418
MIJC2682;8594197828469;Ice Green Pasta Bowl 22,5 cm, 350 ml;85
